J01 | 렌즈착색기조작원 | id=1765285210087413
J02 | 렌즈하드코팅원 | id=1765285210654871
J03 | 로더조종사 | id=1765285444950928
J04 | 로봇공정시뮬레이션기술자 | id=1765283932274176
J05 | 로봇동작생성연구원 | id=1765283932773378
J06 | 로봇지능개발자 | id=1765283933475211
J07 | 로봇하드웨어설계기술자 | id=1765283933728252
J08 | 로스터조작원 | id=1765284831575515
J09 | 로켓터보펌프시험원 | id=1765283908206379
J10 | 로터리스크린날염기운전원 | id=1765284932599457
J11 | 로프강사 | id=1765284223559830
J12 | 로프제작기보전원 | id=1765284668077273
J13 | 롤러관리원 | id=1765284668424425
J14 | 롤러날염기운전원 | id=1765284932995142
J15 | 롤러날염반장 | id=1765284933365250
J16 | 롤러성형원 | id=1765285222996671
J17 | 롤러소제원 | id=1765284905131638
J18 | 롤러압착기조작원 | id=1765285474151188
J19 | 롤러연마원 | id=1765285266588657
J20 | 롤러피복원 | id=1765284668709891
J21 | 롤링기조작원 | id=1765285507010478
J22 | 롤벤딩원 | id=1765285164829503
J23 | 롤회전원 | id=1765284951465501
J24 | 루터기조작원 | id=1765285474696828
J25 | 루핑지가공반장 | id=1765285507392659
